Species,Display Name,Museum Number,Study ID,Clade,Locality,Locality Notes,Lat,Long,Year collected,Sex (phenotype),Sex (genetic),Coverage,Depth,Fraglen,GC,Read dosage,5’ C>T,3’ G>A,Heterozygosity,Coverage (Mt),Depth (Mt),Fraglen (Mt),GC (Mt)
Turdus_poliocephalus_tolokiwae,"T. p. tolokiwae  (Tolokiwa, Bismarcks)",AMNH836154,Tpol00836154,H,"Tolokiwa, Papua New Guinea",,-5.313659,147.589529,1972,M,M,0.88542,15.5665,133,37.94,0.960795925184267,0.029012,0.0294216,0.0125845,0.99498,238062,170,46.98
Turdus_poliocephalus_vanikorensis,"T. p. vanikorensis  (Utupua, Santa Cruz Is.)",AMNH214400,Tpol00214400,K,"Utupua, Santa Cruz Is.",,-11.253261,166.531738,1926,M,M,0.883691,14242,122,38.44,0.912820030673612,0.0453321,0.0454678,0.0290491,0.99498,300596,177,47.49
Turdus_poliocephalus_vanikorensis,"T. p. vanikorensis  (Malo, Vanuatu)",AMNH214427,Tpol00214427,K,"Malo, Vanuatu",,-15.679085,167.17096,1926,M,M,0.882741,12.8185,116,38.44,0.939937967116118,0.0423785,0.0429837,0.0328226,0.99498,211961,149,47.99
Turdus_poliocephalus_vanikorensis,"T. p. vanikorensis  (Espiritu Santo, Vanuatu)",AMNH214440,Tpol00214440,K,"Espiritu Santo, Vanuatu",,-15.30872,166.943409,1926,F,F,0.883652,13.7555,123,38.44,0.483074665750234,0.0432598,0.0438549,0.0373186,0.99498,273061,168,47.49
Turdus_poliocephalus_versteegi,T. p. versteegi  (w New Guinea),AMNH340312,Tpol00340312,G,w New Guinea,,-4.138912,138.670298,1938,F,F,0.884138,14.2865,120,38.44,0.491690305497174,0.0474797,0.0474038,0.0565341,0.995637,260888,164,47.99
Turdus_poliocephalus_vinitinctus,T. p. vinitinctus  (Lord Howe),AMNH575436,Tpol00575436,L,"Lord Howe I., Australia",,-31.551779,159.083448,1914,M,M,0.880307,10.9565,107,38.44,0.951838749178362,0.0364348,0.0358631,0.00406147,0.99498,228191,153,48.49
Turdus_poliocephalus_vitiensis,"T. p. vitiensis  (Vanua Levu, Fiji)",AMNH223923,Tpol00223923,L,"Vanua Levu, Fiji",,-16.582999,179.292978,1924,M,M,0.881322,10.3983,117,38.94,0.93428173699684,0.0498036,0.050411,0.0219024,0.994801,365279,191,47.49
Turdus_poliocephalus_whiteheadi,T. p. whiteheadi  (e Java),AMNH575625,Tpol00575625,E,"e Java, Indonesia",,-7.764887,112.589096,1896,M,M,0.877794,7.49151,108,38.44,0.930371713625456,0.0564442,0.0563158,0.0248891,0.995578,200922,140,48.49
Turdus_poliocephalus_whitneyi,"T. p. whitneyi  (Gaua, Vanuatu)",AMNH21512,Tpol00021512,L,"Gaua, Vanuatu",,-14.288358,167.518255,2014,F,F,0.907967,11.2542,149,37.44,0.504182822672144,0.0122505,0.0109001,0.0273085,0.994562,989181,146,48.49
Turdus_poliocephalus_xanthopus,"T. p. xanthopus  (Grande Terre, New Caledonia)",AMNH575554,Tpol00575554,L,"Grande Terre, New Caledonia",,-21.417024,165.442885,1914,M,M,0.883249,14.3637,114,38.44,0.938786426152557,0.0428987,0.0426204,0.025887,0.995637,208228,146,46.98
